rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
4717,escompter,v,to discount; to expect,cela n’a pas eu les résultats escomptés –,that didn’t have the expected results,58,281
4718,intensif,nadj,intensive,une telle traduction représente un travail intensif –,a translation like this involves intense work,76,143
4719,scepticisme,nm,scepticism,je vous concède que le scepticisme n’est pas très sexy –,I admit that scepticism isn’t very sexy,80,111
4720,croisière,nf,cruise,on a décidé de faire cette croisière en Mer Rouge –,we decided to take a Red Sea cruise,76,142
4721,plénier,adj,"plenary, full",l’assemblée plénière est tombée d’accord –,the plenary assembly came to agreement,57,285
4722,athlète,"nm, nf",athlete,les athlètes doivent être de bons leaders –,athletes must be good leaders,63,234
4723,poil,nm,"hair, bristle",il est allergique au poil de chat –,he’s allergic to cat hair,59,273
4724,épanouir,v,"to bloom, blossom",elle est très vivante et s’épanouit de plus en plus –,she’s very lively and is blossoming more and more,75,149
4725,minimiser,v,"to minimize, play down",il tend donc à minimiser le problème –,so he tends to minimize the problem,73,160
4726,inévitablement,adv,inevitably,le chômage augmenterait inévitablement –,unemployment would inevitably increase,77,131
4727,informé,nadj,informed,la population doit être mieux informée au sujet –,the population must be better informed on the subject,76,140
4728,islam,nm,Islam,l’Islam est aujourd’hui la deuxième religion de France –,Islam is the second largest religion in France today,57,287
4729,échéant,adj,if need be,c’est moi qui le cas échéant prendrai la décision –,I’m the one who will make the decision if necessary,62,241
4730,murmurer,v,to murmur,elle a murmuré dans mon oreille –,she mumbled into my ear,50,355
4731,implantation,nf,"implanting, setting up, establishment, implantation, installation",quelle est votre stratégie d’implantation? –,what is your installation strategy?,70,185
4732,décerner,v,"to award, give, issue","en science, on ne décerne pas de distinction pour les redécouvertes –",in science nobody receives a prize for rediscovering something,71,173
4733,replacer,v,"to replace, put back",il replaça le paquet dans sa poche –,he returned the package to his pocket,81,106
4734,vêtir,v,"to clothe, dress, put on","c’était un vieil homme, vêtu bourgeoisement –","he was an old man, dressed simply",59,270
4735,trottoir,nm,pavement,"mets-moi sur le trottoir, je me débrouillerai –","put me on the sidewalk, I’ll manage",60,257
4736,vieillard,nm,old man,le vieillard haussa les épaules –,the old man shrugged his shoulders,57,285
4737,fillette,nf,"little girl, girl",certes la fillette semblait précoce –,the little girl certainly seemed precocious,66,211
4738,enchanter,v,"to delight, enchant, rejoice","mais il est enchanté de me voir, hein? –","he’s sure delighted to see me, eh?",57,286
4739,singe,nm,monkey,ils imitent le cri des singes –,they’re imitating the monkeys’ scream,66,209
4740,superficiel,adj,"superficial, shallow","t’es un mec superficiel, un vrai nul –","you’re a shallow guy, a real nobody",72,170
4741,rigide,adj(f),"rigid, stiff",il y a de rigides paramètres en place –,there are fixed parameters in place,76,138
4742,démographique,adj(f),demographic,nous vivons en une époque d’évolution démographique –,we live in an era of demographic evolution,68,197
4743,fourniture,nf,"supply, provision",l’accord prévoit la fourniture de 3 millions de tonnes de pétrole –,the agreement anticipates a supply of 3 million tonnes of oil,71,172
4744,taxer,v,to tax,il est injuste de le taxer de caprice –,it’s injust to tax indiscriminately,71,171
4745,milice,nf,militia,les milices sont responsables de crimes contre l’humanité –,the militias are responsible for crimes against humanity,55,301
4746,foire,nf,fair,"hier, j’étais à la foire aux livres –",yesterday I was at the book fair,76,136
4747,élégant,adj,"elegant, stylish",les pauvres sont désormais plus élégants que les riches –,the poor are henceforth more elegant than the rich,67,206
4748,crème,"adji, nf",cream,son père lui appliqua une crème désinfectante et lui banda la main –,his father applied some disinfectant cream and bandaged his hand,72,166
4749,mentalité,nf,mentality,il faut instaurer une mentalité de gagnant et de bosseur –,we need to establish a winning and hard-working mentality,67,203
4750,charité,nf,charity,beaucoup de laïcs ont plus de charité qu’eux –,many lay clergy have more charity than they do,61,252
4751,borne,nf,"milestone, boundary stone",je vous ai affirmé notre admiration sans bornes –,I have asserted to you our unqualified admiration,66,213
4752,organique,adj(f),organic,une forme de vie organique vient à ma rescousse –,an organic life form came to my rescue,70,179
4753,dévouer,v,"to devote, sacrifice oneself",elle se dévoua à la gloire de son ami –,she devoted herself to the glory of her friend,69,190
4754,hâter,v,"to quicken, hasten",hâte-toi de revenir –,hurry back,65,215
4755,mobilité,nf,mobility,la mobilité de la population a changé –,the mobility of the population has changed,72,169
4756,exclu,"nm, adj",outcast,je ne me suis jamais senti exclu –,I never felt excluded,74,149
4757,boucher,"nm, v","butcher; to fill in, get clogged up",il faudra sans doute boucher des trous –,it will of course be necessary to plug the holes,67,206
4758,bénéfique,adj(f),beneficial,les faits prouvent que le mariage est bénéfique pour les enfants –,the facts prove that marriage is beneficial for children,73,161
4759,commencement,nm,"beginning, start",ce n’est que le commencement et non la fin –,it’s only the beginning and not the end,58,272
4760,licenciement,nm,"dismissal, sacking","on va vous notifier votre licenciement, par courrier –",we will notify you of your dismissal by mail,54,313
4761,chancelier,nm,chancellor,le chancelier doit rencontrer le président du parlement –,the chancellor must meet the speaker of the parliament,54,315
4762,retenue,nf,"deduction; restraint, self-control",je me suis racontée sans aucune retenue –,I talked about myself without any restraint,72,168
4763,visée,nf,"aim, design, sighting",nous n’avons aucune visée sur l’Indochine –,we have no designs for Indochina,81,103
4764,dénonciation,nf,denunciation,la dénonciation ne doit pas être acide ou sarcastique –,the denunciation need not be acerbic or sarcastic,77,129
4765,plaie,nf,wound,il lavera et séchera nos plaies –,he will wash and dry our wounds,75,141
4766,exiler,v,to exile,il se lamentait d’être exilé –,he rued at being exiled,71,171
4767,rocher,nm,"rock, boulder",il a disparu derrière les rochers –,he disappeared behind the rocks,62,237
4768,mortalité,nf,"mortality, death rate",la mortalité par cancer continue à décroître aux Etats-Unis –,cancer deaths continue to decrease in the U.S.,78,122
4769,cruauté,nf,cruelty,c’est tout simplement un acte de cruauté –,it’s simply an act of cruelty,75,146
4770,regrettable,adj(f),"unfortunate, regrettable",la perte d’une vie est toujours regrettable –,the loss of a life is always regrettable,71,168
4771,droguer,v,"to drug, take drugs",je me suis déjà drogué –,I was already high on drugs,80,111
4772,connecter,v,"to connect, go on-line",tous les pays sont connectés à Internet –,all countries are connected to the Internet,50,352
4773,confort,nm,comfort,tout le monde vit dans le confort –,everyone lives in comfort,74,152
4774,compréhensible,adj(f),"comprehensible, understandable",il est compréhensible que le public soit inquiet –,it’s understandable that the public is disturbed,79,119
4775,tube,nm,tube,deux fois déjà le tube a été retiré puis remis –,"twice already the tube was pulled out, then reinserted",66,210
4776,coffre,nm,"trunk, boot, chest",les bagages sont dans le coffre –,the suitcases are in the trunk,64,226
4777,intimider,v,to intimidate,il essayait de m’intimider –,he tried to intimidate me,72,162
4778,huitième,"det, nm, nf",eighth,il a terminé la course huitième –,he finished the race in eighth place,64,223
4779,forger,v,"to forge, contrive, make up",il nous faut forger des concepts inconcevables –,we need to invent inconceivable concepts,73,157
4780,périr,v,to perish,je périrais sans toi –,I would perish without you,70,179
4781,notoire,adj(f),"notorious, well-known",nous détenons en ce moment un meurtrier notoire –,at the moment we have a notorious murderer in custody,89,54
4782,graphique,nadj(f),"graph, graphic",j’aimerais avoir un graphique ici –,I would like to have a graph here,56,288
4783,annulation,nf,"cancellation, annulment",l’annulation est due à la défection de certains partenaires –,the annulment results from the defection of some partners,65,213
4784,acceptation,nf,acceptance,la foi suppose l’acceptation du mystère –,faith requires acceptance of the mystery,72,164
4785,textile,nadj(f),textile,"mère, enfants travaillent dans le textile –",mother and children are working in the textile industry,56,292
4786,hormis,prep,"save, but","hormis vous, personne n’a vu ce gamin –","except for you, nobody saw this kid",76,136
4787,chirurgien,nm,surgeon,les chirurgiens disent qu’il n’a pas souffert –,the surgeons say he didn’t suffer,71,168
4788,orage,nm,"storm, thunderstorm",au loin un orage grondait –,in the distance a storm thundered,64,221
4789,boule,nf,ball,je lui ai offert une boule à neige –,I offered her a snowball,61,248
4790,médiation,nf,"mediation, arbitration",les tentatives américaines de médiation ont continué –,American attempts at negotiation continued,73,155
4791,réprimer,v,"to suppress, repress",vous réprimez ce que vous ressentez –,you’re repressing what you feel,74,150
4792,hall,nm,"foyer, lobby",je l’ai rencontré dans le hall d’un immeuble –,I met him in the foyer of the building,74,150
4793,visuel,adj,visual,mais garde le contact visuel –,but keep visual contact,54,309
4794,semblant,nm,"semblance, pretence",faites semblant d’être désespérée –,pretend to be desperate,68,194
4795,jadis,adv,"formerly, long ago","jadis, nous étions des esclaves –","long ago, we were slaves",62,239
4796,rémunérer,v,"to remunerate, pay",il était rémunéré par une excellente nourriture –,he was paid with excellent food,68,192
